Time [s],Channel 2,Channel 3
15.187211792,1,0
15.187211958,1,1
15.187212083,1,0
15.187212125,1,1
15.187212167,1,0
15.187212250,1,1
15.187212333,1,0
15.187212500,1,1
15.187212625,1,0
15.187212667,1,1
15.187212708,1,0
15.187212792,1,1
15.187212875,1,0
15.187213042,1,1
15.187213167,1,0
15.187213208,1,1
15.187213250,1,0
15.187213333,1,1
15.187213417,1,0
15.187213583,1,1
15.187213708,1,0
15.187213750,1,1
15.187213792,1,0
15.187213875,1,1
15.187213958,1,0
15.187214125,1,1
15.187214250,1,0
15.187214292,1,1
15.187214333,1,0
15.187214417,1,1
15.187214500,1,0
15.187214667,1,1
15.187214792,1,0
15.187214833,1,1
15.187214875,1,0
15.187214958,1,1
15.187215042,1,0
15.187215208,1,1
15.187215333,1,0
15.187215375,1,1
15.187215417,1,0
15.187215500,1,1
15.187215583,1,0
15.187215750,1,1
15.187215875,1,0
15.187215917,1,1
15.187215958,1,0
15.187216042,1,1
15.187216125,1,0
15.187216292,1,1
15.187216417,1,0
15.187216458,1,1
15.187216500,1,0
15.187216583,1,1
15.187216667,1,0
15.187216833,1,1
15.187216958,1,0
15.187217000,1,1
15.187217042,1,0
15.187217125,1,1
15.187217208,1,0
15.187217375,1,1
15.187217500,1,0
15.187217542,1,1
15.187217583,1,0
15.187217667,1,1
15.187217750,1,0
15.187217917,1,1
15.187218042,1,0
15.187218083,1,1
15.187218125,1,0
15.187218208,1,1
15.187218292,1,0
15.187218458,1,1
15.187218583,1,0
15.187218625,1,1
15.187218667,1,0
15.187218750,1,1
15.187218833,1,0
15.187219000,1,1
15.187219125,1,0
15.187219167,1,1
15.187219208,1,0
15.187219292,1,1
15.187219375,1,0
15.187219542,1,1
15.187219667,1,0
15.187219708,1,1
15.187219750,1,0
15.187219833,1,1
15.187219917,1,0
15.187220083,1,1
15.187220208,1,0
15.187220250,1,1
15.187220292,1,0
15.187220375,1,1
15.187220500,1,0
15.187220625,1,1
15.187220750,1,0
15.187220792,1,1
15.187220833,1,0
15.187220917,1,1
15.187221042,1,0
15.187221167,1,1
15.187221292,1,0
15.187221458,1,1
15.187221583,1,0
15.187221708,1,1
15.187221833,1,0
15.187222000,1,1
15.187222125,1,0
15.187222250,1,1
15.187222375,1,0
15.187222542,1,1
15.187222667,1,0
15.187222708,1,1
15.187222750,1,0
15.187222792,1,1
15.187222917,1,0
15.187223083,1,1
15.187223208,1,0
15.187223250,1,1
15.187223292,1,0
15.187223333,1,1
15.187223458,1,0
15.187223625,1,1
15.187223750,1,0
15.187223792,1,1
15.187223833,1,0
15.187223917,1,1
15.187224000,1,0
15.187224167,1,1
15.187224292,1,0
15.187224333,1,1
15.187224375,1,0
15.187224417,1,1
15.187224542,1,0
15.187224708,1,1
15.187224833,1,0
15.187224875,1,1
15.187224917,1,0
15.187224958,1,1
15.187225083,1,0
15.187225250,1,1
15.187225375,1,0
15.187225417,1,1
15.187225458,1,0
15.187225500,1,1
15.187225625,1,0
15.187225792,1,1
15.187225917,1,0
15.187225958,1,1
15.187226000,1,0
15.187226083,1,1
15.187226167,1,0
15.187226333,1,1
15.187226458,1,0
15.187226500,1,1
15.187226542,1,0
15.187226625,1,1
15.187226708,1,0
15.187226875,1,1
15.187227000,1,0
15.187227042,1,1
15.187227083,1,0
15.187227167,1,1
15.187227250,1,0
15.187227417,1,1
15.187227542,1,0
15.187227583,1,1
15.187227625,1,0
15.187227708,1,1
15.187227792,1,0
15.187227958,1,1
15.187228083,1,0
15.187228125,1,1
15.187228167,1,0
15.187228250,1,1
15.187228333,1,0
15.187228500,1,1
15.187228625,1,0
15.187228667,1,1
15.187228708,1,0
15.187228792,1,1
15.187228875,1,0
15.187229042,1,1
15.187229167,1,0
15.187229208,1,1
15.187229250,1,0
15.187229333,1,1
15.187229417,1,0
15.187229583,1,1
15.187229708,1,0
15.187229750,1,1
15.187229792,1,0
15.187229875,1,1
15.187229958,1,0
15.187230125,1,1
15.187230250,1,0
15.187230292,1,1
15.187230333,1,0
15.187230417,1,1
15.187230500,1,0
15.187230667,1,1
15.187230792,1,0
15.187230833,1,1
15.187230875,1,0
15.187230958,1,1
15.187231042,1,0
15.187231208,1,1
15.187231333,1,0
15.187231375,1,1
15.187231417,1,0
15.187231500,1,1
15.187231583,1,0
15.187231750,1,1
15.187231875,1,0
15.187231917,1,1
15.187231958,1,0
15.187232042,1,1
15.187232167,1,0
15.187232292,1,1
15.187232417,1,0
15.187232458,1,1
15.187232500,1,0
15.187232583,1,1
15.187232708,1,0
15.187232833,1,1
15.187232958,1,0
15.187233000,1,1
15.187233042,1,0
15.187233125,1,1
15.187233250,1,0
15.187233375,1,1
15.187233500,1,0
15.187233667,1,1
15.187233792,1,0
15.187233917,1,1
15.187234042,1,0
15.187234208,1,1
15.187234333,1,0
15.187234375,1,1
15.187234417,1,0
15.187234458,1,1
15.187234583,1,0
15.187234750,1,1
15.187234875,1,0
15.187234917,1,1
15.187234958,1,0
15.187235000,1,1
15.187235125,1,0
15.187235292,1,1
15.187235417,1,0
15.187235458,1,1
15.187235500,1,0
15.187235542,1,1
15.187235667,1,0
15.187235833,1,1
15.187235958,1,0
15.187236000,1,1
15.187236042,1,0
15.187236125,1,1
15.187236208,1,0
15.187236375,1,1
15.187236500,1,0
15.187236542,1,1
15.187236583,1,0
15.187236667,1,1
15.187236750,1,0
15.187236917,1,1
15.187237042,1,0
15.187237083,1,1
15.187237125,1,0
15.187237167,1,1
15.187237292,1,0
15.187237458,1,1
15.187237583,1,0
15.187237625,1,1
15.187237667,1,0
15.187237708,1,1
15.187237833,1,0
15.187238000,1,1
15.187238125,1,0
15.187238167,1,1
15.187238208,1,0
15.187238292,1,1
15.187238375,1,0
15.187238542,1,1
15.187238667,1,0
15.187238708,1,1
15.187238750,1,0
15.187238833,1,1
15.187238917,1,0
15.187239083,1,1
15.187239208,1,0
15.187239250,1,1
15.187239292,1,0
15.187239375,1,1
15.187239458,1,0
15.187239625,1,1
15.187239750,1,0
15.187239792,1,1
15.187239833,1,0
15.187239917,1,1
15.187240000,1,0
15.187240167,1,1
15.187240292,1,0
15.187240333,1,1
15.187240375,1,0
15.187240458,1,1
15.187240542,1,0
15.187240708,1,1
15.187240833,1,0
15.187240875,1,1
15.187240917,1,0
15.187241000,1,1
15.187241083,1,0
15.187241250,1,1
15.187241375,1,0
15.187241417,1,1
15.187241458,1,0
15.187241542,1,1
15.187241625,1,0
15.187241792,1,1
15.187241917,1,0
15.187241958,1,1
15.187242000,1,0
15.187242083,1,1
15.187242167,1,0
15.187242333,1,1
15.187242458,1,0
15.187242500,1,1
15.187242542,1,0
15.187242625,1,1
15.187242708,1,0
15.187242875,1,1
15.187243000,1,0
15.187243042,1,1
15.187243083,1,0
15.187243167,1,1
15.187243250,1,0
15.187243417,1,1
15.187243542,1,0
15.187243583,1,1
15.187243625,1,0
15.187243708,1,1
15.187243833,1,0
15.187243958,1,1
15.187244083,1,0
15.187244125,1,1
15.187244167,1,0
15.187244250,1,1
15.187244375,1,0
15.187244500,1,1
15.187244625,1,0
15.187244667,1,1
15.187244708,1,0
15.187244792,1,1
15.187244917,1,0
15.187245042,1,1
15.187245167,1,0
15.187245333,1,1
15.187245458,1,0
15.187245583,1,1
15.187245708,1,0
15.187245875,1,1
15.187246000,1,0
15.187246042,1,1
15.187246083,1,0
15.187246125,1,1
15.187246250,1,0
15.187246417,1,1
15.187246542,1,0
15.187246583,1,1
15.187246625,1,0
15.187246667,1,1
15.187246792,1,0
15.187246958,1,1
15.187247083,1,0
15.187247125,1,1
15.187247167,1,0
15.187247208,1,1
15.187247333,1,0
15.187247500,1,1
15.187247625,1,0
15.187247667,1,1
15.187247708,1,0
15.187247750,1,1
15.187247875,1,0
15.187248042,1,1
15.187248167,1,0
15.187248208,1,1
15.187248250,1,0
15.187248292,1,1
15.187248417,1,0
15.187248583,1,1
15.187248708,1,0
15.187248750,1,1
15.187248792,1,0
15.187248833,1,1
15.187248958,1,0
15.187249125,1,1
15.187249250,1,0
15.187249292,1,1
15.187249333,1,0
15.187249375,1,1
15.187249500,1,0
15.187249667,1,1
15.187249792,1,0
15.187249833,1,1
15.187249875,1,0
15.187249958,1,1
15.187250042,1,0
15.187250208,1,1
15.187250333,1,0
15.187250375,1,1
15.187250417,1,0
15.187250500,1,1
15.187250583,1,0
15.187250750,1,1
15.187250875,1,0
15.187250917,1,1
15.187250958,1,0
15.187251042,1,1
15.187251125,1,0
15.187251292,1,1
15.187251417,1,0
15.187251458,1,1
15.187251500,1,0
15.187251583,1,1
15.187251667,1,0
15.187251833,1,1
15.187251958,1,0
15.187252000,1,1
15.187252042,1,0
15.187252125,1,1
15.187252208,1,0
15.187252375,1,1
15.187252500,1,0
15.187252542,1,1
15.187252583,1,0
15.187252667,1,1
15.187252750,1,0
15.187252917,1,1
15.187253042,1,0
15.187253083,1,1
15.187253125,1,0
15.187253208,1,1
15.187253292,1,0
15.187253458,1,1
15.187253583,1,0
15.187253625,1,1
15.187253667,1,0
15.187253750,1,1
15.187253833,1,0
15.187254000,1,1
15.187254125,1,0
15.187254167,1,1
15.187254208,1,0
15.187254292,1,1
15.187254375,1,0
15.187254542,1,1
15.187254667,1,0
15.187254708,1,1
15.187254750,1,0
15.187254833,1,1
15.187254917,1,0
15.187255083,1,1
15.187255208,1,0
15.187255250,1,1
15.187255292,1,0
15.187255375,1,1
15.187255500,1,0
15.187255625,1,1
15.187255750,1,0
15.187255792,1,1
15.187255833,1,0
15.187255917,1,1
15.187256042,1,0
15.187256167,1,1
15.187256292,1,0
15.187256333,1,1
15.187256375,1,0
15.187256458,1,1
15.187256583,1,0
15.187256708,1,1
15.187256833,1,0
15.187256875,1,1
15.187256917,1,0
15.187257000,1,1
15.187257125,1,0
15.187257250,1,1
15.187257375,1,0
15.187257542,1,1
15.187257667,1,0
15.187257708,1,1
15.187257750,1,0
15.187257792,1,1
15.187257917,1,0
15.187258083,1,1
15.187258208,1,0
15.187258250,1,1
15.187258292,1,0
15.187258333,1,1
15.187258458,1,0
15.187258625,1,1
15.187258750,1,0
15.187258792,1,1
15.187258833,1,0
15.187258875,1,1
15.187259000,1,0
15.187259167,1,1
15.187259292,1,0
15.187259333,1,1
15.187259375,1,0
15.187259417,1,1
15.187259542,1,0
15.187259708,1,1
15.187259833,1,0
15.187259875,1,1
15.187259917,1,0
15.187259958,1,1
15.187260083,1,0
15.187260250,1,1
15.187260375,1,0
15.187260417,1,1
15.187260458,1,0
15.187260500,1,1
15.187260625,1,0
15.187260792,1,1
15.187260917,1,0
15.187260958,1,1
15.187261000,1,0
15.187261042,1,1
15.187261167,1,0
15.187261333,1,1
15.187261458,1,0
15.187261500,1,1
15.187261542,1,0
15.187261583,1,1
15.187261708,1,0
15.187261875,1,1
15.187262000,1,0
15.187262042,1,1
15.187262083,1,0
15.187262125,1,1
15.187262250,1,0
15.187262417,1,1
15.187262542,1,0
15.187262583,1,1
15.187262625,1,0
15.187262667,1,1
15.187262792,1,0
15.187262958,1,1
15.187263083,1,0
15.187263125,1,1
15.187263167,1,0
15.187263250,1,1
15.187263333,1,0
15.187263500,1,1
15.187263625,1,0
15.187263667,1,1
15.187263708,1,0
15.187263792,1,1
15.187263875,1,0
15.187264042,1,1
15.187264167,1,0
15.187264208,1,1
15.187264250,1,0
15.187264333,1,1
15.187264417,1,0
15.187264583,1,1
15.187264708,1,0
15.187264750,1,1
15.187264792,1,0
15.187264875,1,1
15.187264958,1,0
15.187265125,1,1
15.187265250,1,0
15.187265292,1,1
15.187265333,1,0
15.187265417,1,1
15.187265500,1,0
15.187265667,1,1
15.187265792,1,0
15.187265833,1,1
15.187265875,1,0
15.187265958,1,1
15.187266042,1,0
15.187266208,1,1
15.187266333,1,0
15.187266375,1,1
15.187266417,1,0
15.187266500,1,1
15.187266583,1,0
15.187266750,1,1
15.187266875,1,0
15.187266917,1,1
15.187266958,1,0
15.187267042,1,1
15.187267167,1,0
15.187267292,1,1
15.187267417,1,0
15.187267458,1,1
15.187267500,1,0
15.187267583,1,1
15.187267708,1,0
15.187267833,1,1
15.187267958,1,0
15.187268000,1,1
15.187268042,1,0
15.187268125,1,1
15.187268250,1,0
15.187268375,1,1
15.187268500,1,0
15.187268667,1,1
15.187268792,1,0
15.187268917,1,1
15.187269042,1,0
15.187269083,1,1
15.187269125,1,0
15.187269208,1,1
15.187269333,1,0
15.187269375,1,1
